Key,X,Y
16,-0.35619965195656,-0.37499961256981
17,2.3438000679016,3.3250007629395
19,1.2938008308411,0.8000003695488
20,1.6438001394272,3.4000005722046
22,0.71880024671555,2.3000004291534
23,4.2188005447388,2.5000009536743
24,-0.45619988441467,0.97500091791153
25,2.868800163269,3.1500008106232
74,4.0437994003296,1.6750003099442
75,2.5938007831573,-0.97499948740005
76,3.4688012599945,-0.52499961853027
77,4.0938010215759,0.20000040531158
73,4.0438008308411,0.97500032186508
72,1.2688006162643,-0.024999611079693
